keyword	patent	title	sentence	section
	US9888105	Intuitive computing methods and systems	 Forward the pixels to the “cloud” and have a vast ARMY of anonymous computers apply every known image recognition algorithm to the data until one finally identifies the depicted subject.	Hypothetically, the problem has a straightforward solution. Forward the pixels to the “cloud” and have a vast army of anonymous computers apply every known image recognition algorithm to the data until one finally identifies the depicted subject. (One particular approach would be to compare the unknown image with each of the billions of images posted to web-based public photo repositories, such as Flickr and Facebook. After finding the most similar posted photo, the descriptive words, or “metadata,” associated with the matching picture could be noted, and used as descriptors to identify the subject of the unknown image.) After consuming a few days or months of cloud computing power (and megawatts of electrical power), an answer would be produced.
	CN103763515A	Video anomaly detection method based on machine learning	Along with the development of Chinese society and the rise of electronic applications, video monitoring system has been widely used in all trades and professions very much, no longer be confined to the special dimensions such as public security, finance, bank, traffic, ARMY and port in the past, our daily life tentacle energy and community, office building, hotel, public place, factory, market, community, even family, has all installed video monitoring system.	Along with the development of Chinese society and the rise of electronic applications, video monitoring system has been widely used in all trades and professions very much, no longer be confined to the special dimensions such as public security, finance, bank, traffic, army and port in the past, our daily life tentacle energy and community, office building, hotel, public place, factory, market, community, even family, has all installed video monitoring system.But along with the continuous increase of application scenario CCTV camera quantity, the time of monitoring constantly extends, artificial more and more difficult to the maintenance of monitoring software in real time, so also more and more urgent for the intellectuality of monitoring software.
	US9202184	Optimizing the selection, verification, and deployment of expert resources in a time of chaos	 A cohort or unified group may be considered an entity rather than a group of individual skills, such as a fully functioning mobile ARMY surgical hospital (MASH) unit.	The needed skills are optimized based on requirements and constraints for expert services, a potential skills pool, cohorts of a related set of skills, and enabling resources. Optimization is the process of finding a solution that is the best fit based on the available resources and specified constraints. The solution is skills and resources that are available and is recognized as the best solution among numerous alternatives because of the constraints, requirements, and other circumstances and criteria of the chaotic event. A cohort or unified group may be considered an entity rather than a group of individual skills, such as a fully functioning mobile army surgical hospital (MASH) unit.
	CN102945374A	Method for automatically detecting civil aircraft in high-resolution remote sensing image	In recent years, along with the development of remote sensing technology and improving constantly of image resolution ratio, automatically detection not only has important application value in ARMY with the identification all types of target from high-resolution remote sensing image, also more and more becomes the focus that civil aviaton remote sensing field is paid close attention to.	All the time, to the detection of interesting target in the image and identification all be one important subject.In recent years, along with the development of remote sensing technology and improving constantly of image resolution ratio, automatically detection not only has important application value in army with the identification all types of target from high-resolution remote sensing image, also more and more becomes the focus that civil aviaton remote sensing field is paid close attention to.Wherein the aircarrier aircraft in the high-resolution remote sensing image detects automatically, as the important component part of target detection, because its important guiding effect at aspects such as city planning, airdrome controls, in also studying always and exploring.But generally, because the impact of the factors such as the size of the complicacy of high-resolution remote sensing image and airframe, contrast is wanted to guarantee higher verification and measurement ratio and be not easy under the less prerequisite of false-alarm.
baggage				
	US10148918	Modular shelving systems for package tracking	 Although shown in FIG. 2 as trucks, a delivery vehicle 202 may be any form of transport, including, but not limited to, an airplane, automobile, van, sea-going vessel, train, airplane BAGGAGE cart.	 FIG. 2 shows an example of an implementation of the package tracking system 100 (FIG. 1) within a delivery system 200. For illustration purposes, the delivery system 200 includes multiple delivery vehicles 202-1, 202-n (generally, 202) and scanners 124-1, 124-n (generally, 124) used by personnel to obtain package identification information from packages. Although shown in FIG. 2 as trucks, a delivery vehicle 202 may be any form of transport, including, but not limited to, an airplane, automobile, van, sea-going vessel, train, airplane baggage cart. The delivery vehicles 202 and scanners 124 are in communication with a central server (or servers) 204 over communication connections 206. The server 204 (or servers) can be cloud based, meaning that a provider of the server 204 makes applications, services, and resources available on demand to users over a network (e.g., the Internet). The communication connections 206 may be established using any type of communication system including, but not limited to, a cellular network, private network, local network, wired network, wireless network, or any combination thereof.
	US9875392	System and method for face capture and matching	, via another image capture device 102) as they exit the customs area, allowing for the calculation of the BAGGAGE retrieval and customs process time, and the total arrivals process time.	Referring to FIG. 7, a more detailed example 160 of passenger timing is illustrated. At Position 1 at an air bridge, as passengers step outside the aircraft and walk through the jetty, their face may be captured for the first time by the image capture device 102, and stored in the enrolled identities database 115. At Position 2, at the immigration hall entrance, passengers' faces may be captured (e.g., via another image capture device 102) as they enter the immigration hall, giving the dwell time for transit from gate to hall, and providing for the calculation of time to clear immigration. At Position 3, at automated border clearance (ACS) gates, the photos from the ACS gates may be used to monitor the immigration clearance time of passengers using the ACS gates compared to the overall passenger flow, without additional image capture hardware being needed. At Position 4, at the immigration hall exit, passengers' faces may be captured (e.g., via another image capture device 102) as they clear immigration, allowing for the calculation of the dwell time for the immigration process. At Position 5, at the arrivals hall, passengers' faces may be captured (e.g., via another image capture device 102) as they exit the customs area, allowing for the calculation of the baggage retrieval and customs process time, and the total arrivals process time.
	US9355308	Auditing video analytics through essence generation	 Human auditors generally make fewer mistakes than results obtained by auditing through filtering by machine intelligence, and thus human auditors may provide better efficiencies in applications where true events may occur infrequently, such as in retail fraud detection or abandoned BAGGAGE alerts, and still other examples will be apparent to one skilled in the art.	Visual essences are generally compact and/or condensed so that they require less bandwidth than video data for visualization in an auditing system; only frames or limited video selections need be transmitted to the auditor for review, not a much larger or entire video feed as is typically required in the prior art. Smaller visual essences (for example, discrete data files) may also be more readily downloaded to, and stored in local machines for faster system responses compared to larger video feeds. Further, as analysts need only watch summaries about an event, pruning operations are faster and their throughput rate may be higher. Human auditors generally make fewer mistakes than results obtained by auditing through filtering by machine intelligence, and thus human auditors may provide better efficiencies in applications where true events may occur infrequently, such as in retail fraud detection or abandoned baggage alerts, and still other examples will be apparent to one skilled in the art.
	WO2018193123A1	Detection system, detection device and method therefor		
	EP3113070A1	Method and system for optical user recognition		
caste				
	EP2263598B2	Method for fabricating a plurality of dental incremental position adjustment appliances		
	CN107292314A	A kind of lepidopterous insects species automatic identification method based on CNN		
	US6858826	Method and apparatus for scanning three-dimensional objects		
citizen				
	WO2017160469A1	Visual perception determination system and method	 [0001] As small and inexpensive imaging devices become more readily available, there is an increasing occurrence of video recording by ordinary CITIZENs of interactions involving, for example, law enforcement officers and alleged criminals.	 [0001] As small and inexpensive imaging devices become more readily available, there is an increasing occurrence of video recording by ordinary citizens of interactions involving, for example, law enforcement officers and alleged criminals. Additionally, many state and local law enforcement jurisdictions already mandate or encourage officers to use imaging devices during the course of their duties. For example, dashboard-mounted imaging devices are widely used. In many instances, such imaging devices record images of activity located at the front of the vehicle from a vantage point on the dashboard looking outward through the vehicle windshield and past the vehicle hood. The use of wearable or body-mounted imaging devices is growing and such imaging devices may capture images from a vantage point that matches the location at which the imaging device is worn, which may vary. Video or other images may also be available from security, traffic, and other imaging devices. Thus, there is an increasing prevalence of video or still images available for use in evidentiary and other judicial proceedings. However, the scene shown in various recorded video or still images may not always correspond to the scene as perceived by a person involved in the recorded incident at the time of video or still image capture. 
	US10698995	Method to verify identity using a previously collected biometric image/data	11 a,b,g,n, wireless LAN, WMAN, broadband fixed access, WiMAX, any cellular technology including CDMA, GSM, EDGE, 3G, 4G, 5G, TDMA, AMPS, FRS, GMRS, CITIZEN band radio, VHF, AM, FM, and wireless USB.	It is contemplated that the mobile device, and hence the first wireless transceiver 240 and a second wireless transceiver 244 may be configured to operate according to any presently existing or future developed wireless standard including, but not limited to, Bluetooth, WI-FI such as IEEE 802.11 a,b,g,n, wireless LAN, WMAN, broadband fixed access, WiMAX, any cellular technology including CDMA, GSM, EDGE, 3G, 4G, 5G, TDMA, AMPS, FRS, GMRS, citizen band radio, VHF, AM, FM, and wireless USB.
	US9602738	Automatic event detection, text generation, and use thereof	 In particular, the automated event detection and text generation combined with the video insertion and/or geographical information and universal time aspects of the disclosed embodiments provides for high speed, pinpointed, and seamless search and retrieval for information such as video surveillance, which is elemental in providing safety for CITIZENs in many different situations.	The embodiments described above improve existing video surveillance systems by providing automated, intuitive methods for reviewing and searching for events captured in video. In particular, the automated event detection and text generation combined with the video insertion and/or geographical information and universal time aspects of the disclosed embodiments provides for high speed, pinpointed, and seamless search and retrieval for information such as video surveillance, which is elemental in providing safety for citizens in many different situations. The embodiments described above can be used for various fields. For example, in video surveillance, they can be used to detect potential criminal or terrorist activities, to monitor and improve traffic design, or for general investigation of events of interest. The embodiments can also be used in marketing and research fields, and in urban planning environments, for example, to monitor activity in different parts of a city, and plan for future projects.
	EP2863338A2	Delayed vehicle identification for privacy enforcement		
	US10515379	Computerized detection and semantic characterization of trends in digital media content	” The latent space is “cross-modal, in the sense that embedded vectors representing visual and textual information are treated as the same class of CITIZENs and thus image-to-image, text-to-image, and image-to-text retrieval tasks can in principle all be handled in exactly the same way.	 FIG. 5 is a flowchart illustrating operation of an embodiment of image selection. In the embodiment shown in FIG. 5, image feature detection is performed using a technique known as Kernalized Canonical Correlation Analysis (KCCA), as described by Yunchao Gong, Qifa Ke, Michael Isard, and Svetlana Lazebnik, in “A multi-view embedding space for modeling internet images, tags, and their semantics”, International Journal of Computer Vision, 106(2):210-233, 2014. As Gong et al describe, Canonical Correlation Analysis (CCA) is a “technique that maps two view, given by visual and textual features, into a common latent space where the correlation between the two views is maximized.” The latent space is “cross-modal, in the sense that embedded vectors representing visual and textual information are treated as the same class of citizens and thus image-to-image, text-to-image, and image-to-text retrieval tasks can in principle all be handled in exactly the same way.” Gong et al. describe a modified KCCA technique in which a scalable approximation scheme based on efficient explicit kernel mapping is employed followed by linear dimensionality reduction and linear CCA. A benefit of using KCCA to perform image feature detection is that it can address the problem of missing tags as noted above. With KCCA, a tag missing for an image may come from another image.
combat				
	US9055200	Content delivery based on a light positioning system	 To COMBAT this, lighting manufactures design flicker above 200 Hz into their lighting products.	The modulation frequency of the light source is highly dependent on the receiving circuitry. While incandescent and fluorescent technologies generally do not “flicker” on and off during the course of normal operation, LED lighting sources are sometimes designed to flicker above the rate which the eye can see in order to increase their longevity, and consume less power. Most humans cannot see flicker above 60 Hz, but in rare instances can perceive flicker at 100 Hz to 110 Hz. To combat this, lighting manufactures design flicker above 200 Hz into their lighting products.
	US9465980	Pose tracking pipeline	 In another example, the motion of a player holding an object may be tracked and utilized for controlling an on-screen weapon in an electronic COMBAT game.	In some embodiments, a target may include a human and an object. In such embodiments, for example, a player of an electronic game may be holding an object, such that the motions of the player and the object are utilized to adjust and/or control parameters of the electronic game. For example, the motion of a player holding a racket may be tracked and utilized for controlling an on-screen racket in an electronic sports game. In another example, the motion of a player holding an object may be tracked and utilized for controlling an on-screen weapon in an electronic combat game.
	US9462253	Optical modules that reduce speckle contrast and diffraction artifacts	 In another example embodiment, the motion of a player holding an object may be tracked and utilized for controlling an on-screen weapon in an electronic COMBAT game.	In example embodiments, the human target such as the user 118 may have an object. In such embodiments, the user of an electronic game may be holding the object such that the motions of the player and the object may be used to adjust and/or control parameters of the game. For example, the motion of a player holding a racket may be tracked and utilized for controlling an on-screen racket in an electronic sports game. In another example embodiment, the motion of a player holding an object may be tracked and utilized for controlling an on-screen weapon in an electronic combat game. Objects not held by the user can also be tracked, such as objects thrown, pushed or rolled by the user (or a different user) as well as self-propelled objects. In addition to boxing, other games can also be implemented.
	US10237489	Method and system for configuring an imaging device for the reception of digital pulse recognition information	 To COMBAT this, lighting manufactures design flicker above 200 Hz into their lighting products.	The modulation frequency of the light source is highly dependent on the receiving circuitry. While incandescent and fluorescent technologies generally do not “flicker” on and off during the course of normal operation, LED lighting sources are sometimes designed to flicker above the rate which the eye can see in order to increase their longevity, and consume less power. Most humans cannot see flicker above 60 Hz, but in rare instances can perceive flicker at 100 Hz to 110 Hz. To combat this, lighting manufactures design flicker above 200 Hz into their lighting products.
	US10159411	Detecting irregular physiological responses during exposure to sensitive data	, sports, motorcycle, bicycle, and/or COMBAT helmets) and/or a brainwave-measuring headset.	Sentences in the form of “a frame configured to be worn on a user's head” or “a frame worn on a user's head” refer to a mechanical structure that loads more than 50% of its weight on the user's head. For example, an eyeglasses frame may include two temples connected to two rims connected by a bridge; the frame in Oculus Rift™ includes the foam placed on the user's face and the straps; and the frames in Google Glass™ and Spectacles by Snap Inc. are similar to eyeglasses frames. Additionally or alternatively, the frame may connect to, be affixed within, and/or be integrated with, a helmet (e.g., sports, motorcycle, bicycle, and/or combat helmets) and/or a brainwave-measuring headset.
crime				
	US9483689	Biometric matching technology	 For instance, when the context is a high CRIME area and the criticality of the situation is relatively high, the system 300 sets a relatively large batch size because the circumstances justify the expense of processing more images in parallel.	The system 300 considers the context and/or criticality and sets the batch size based on the context and/or criticality. The system 300 sets the batch size as appropriate for the context and/or criticality. For instance, when the context is a high crime area and the criticality of the situation is relatively high, the system 300 sets a relatively large batch size because the circumstances justify the expense of processing more images in parallel. When the context is a low crime area and the criticality of the situation is relatively low, the system 300 sets a relatively small batch size because the circumstances do not justify the expense of processing more images in parallel. To determine the batch size, the system 300 may reference a look-up table that stores batch sizes to use for the various possible values (or value ranges) for the context and/or criticality used by the system 300 to set the batch size. The system 300 may store the look-up table in electronic storage based on user input provided by an operator of the system 300.
	US9189886	Method and apparatus for estimating body shape	 For CRIME scene video containing clothed subjects, this provides important evidence beyond standard methods.	The parametric shape model can be recovered for people wearing clothing and used to extract biometric measurements such as subject height and weight (Section 10). For crime scene video containing clothed subjects, this provides important evidence beyond standard methods. Body shape can also be used for persistent surveillance. By identifying the shape of people in images, they can be tracked over time and when they leave and re-enter the scene, their body shape can be used to reestablish tracking and determine identity among a group of people using the shape distance score.
	US9214021	Distributed position identification	 As yet another example, robot 214 may include a robot that is used for military or CRIME prevention applications.	As another example, mobile platform 204 be robot 214. For example, without limitation, robot 214 may include an industrial robot or another type of robot that may be used for the manufacture, assembly, inspection, or testing of products, or for any combination of these or other functions. For example, without limitation, robot 214 may be an overhead crane. As another example, robot 214 may include a robot that is used for scientific purposes, such as deep sea or planetary exploration, or for operation in any other environment. As yet another example, robot 214 may include a robot that is used for military or crime prevention applications.
	US10860683	Pattern change discovery between high dimensional data sets	 For example, in financial applications, if we consider the customer daily transactional data as the time-series data, we may apply this invention to detect any abnormal transactional patterns that may indicate potential CRIMEs such as money laundering.	For time evolving data streams, self-adaptive algorithms can be further applied. There is abundant literature on this topic (See [154][155][156][157]). This technology can be applied to many important areas. For example, in financial applications, if we consider the customer daily transactional data as the time-series data, we may apply this invention to detect any abnormal transactional patterns that may indicate potential crimes such as money laundering. When the invention is used to daily sales data on the other hand, we are able to identify new customer interests. As yet another example, if we consider the daily online transactional data, we may be able to use this technology to discover new business models.
	US10861163	System and method for identification and suppression of time varying background objects	Surveillance security systems have been traditionally used to help protect people, property, and reduce CRIME for homeowners and businesses alike and have become an increasingly cost-effective tool to reduce risk.	Surveillance security systems have been traditionally used to help protect people, property, and reduce crime for homeowners and businesses alike and have become an increasingly cost-effective tool to reduce risk. These security systems are used to monitor buildings, lobbies, entries/exits, and secure areas within the buildings, to list a few examples. The security systems also identify illegal activity such as theft or trespassing, in examples.
criminal				
	US10679047	System and method for pose-aware feature learning	In particular, the present invention may have the capability of searching for persons such as CRIMINAL suspects or missing people based on the clothing that the persons are wearing.	In particular, the present invention may have the capability of searching for persons such as criminal suspects or missing people based on the clothing that the persons are wearing. For example, in a particular embodiment, a user may query the present invention with “show me all people with a black down jacket and denim pants from time x to time y, considering all cameras in the downtown area”, and in response to the query, extract images from the video recorded by those cameras which satisfy the query, and present the user with the extracted images.
	US9483689	Biometric matching technology	 The watch list may include CRIMINALs that a government agency is trying to locate, missing persons, persons blacklisted from an establishment, or any type of persons of interest that an organization would like to locate.	The system 300 manages a watch list (410). For instance, the system 300 manages a watch list of persons of interest that includes biometric data (e.g., a face image) for each of the persons of interest. The watch list may include criminals that a government agency is trying to locate, missing persons, persons blacklisted from an establishment, or any type of persons of interest that an organization would like to locate.
	CN106599910B	Mimeograph documents discrimination method based on texture recombination		
	CN105023001A	Selective region-based multi-pedestrian detection method and system	Target detection is a focus in computer vision, is applied in CRIMINAL investigation monitoring, specific objective retrieval, robotics and intelligent vehicle widely; Pedestrian is again particularly important factor in target detection, and therefore pedestrian detection causes and pays much attention to and research in the time in recent years.	"Target detection is a focus in computer vision, is applied in criminal investigation monitoring, specific objective retrieval, robotics and intelligent vehicle widely; Pedestrian is again particularly important factor in target detection, and therefore pedestrian detection causes and pays much attention to and research in the time in recent years.But the many attitude change of illumination under different scene, noise and pedestrian makes the research of pedestrian detection face very large challenge.Pedestrian detection algorithm most is at present all at document ("" Histogramsof oriented gradients for human detection.In Computer Vision and Pattern Recognition "" by means of Dalal-Triggs, 2005.CVPR 2005.IEEE Computer Society Conference on, volume 1, pages 886-893.) the middle HOG feature proposed.Through years of researches, this field achieves very large improvement.At document (the Piotr Dollar of Piotr Dollar, ChristianWojek, Bernt Schiele, and Pietro Perona.Pedestrian detection:An evaluation of the state of the art.Pattern Analysis and Machine Intelligence, IEEE Transactions on, 34 (4): 743-761, 2012.) can find in the investigation of current 16 kinds of pedestrian detection algorithms comparison in, still two problems is there is to such an extent as to verification and measurement ratio is low: a large amount of flase drops being exhaustive scanning and bringing in pedestrian's testing process, another is the low problem of verification and measurement ratio under circumstance of occlusion.Testing process comprises two stages of training and testing: the first, from training image, extract feature, and wherein feature contains color, the base attribute information such as texture and profile of pedestrian, the features training of extraction is gone out SVM classifier; The second, from test set image, extract feature, these features are sent to the sorter trained, finally provide classification results.Can find out from the testing result of HOG feature, there is most flase drop is that current techniques is very scabrous; The residual error ratio that existence is blocked under environment is more serious."
	US10698995	Method to verify identity using a previously collected biometric image/data	 In this manner, a CRIMINAL that has stolen a credit card and attempts to use the card from a distant location (as compared to the retail location) is unable to complete a transaction because the user's phone is not at the location of the retail establishment.	According to one embodiment, as an additional measure of security, the GPS information from the mobile device may also be sent to the authentication server to authenticate and allow the retail transaction. For example, the GPS coordinates from the mobile device may be compared with the coordinates of the retail establishment to confirm that the user is actually present in the retail establishment. In this manner, a criminal that has stolen a credit card and attempts to use the card from a distant location (as compared to the retail location) is unable to complete a transaction because the user's phone is not at the location of the retail establishment. IP addresses may also be used to determine location.
defense				
	CN107113381A	The tolerance video-splicing that space-time local deformation and seam are searched		
	US9808549	System for detecting sterile field events and related methods	The primary DEFENSE against such infections is deceptively simple: avoid contact events between any potentially contaminated surfaces and sterile surfaces.	The primary defense against such infections is deceptively simple: avoid contact events between any potentially contaminated surfaces and sterile surfaces. Simulation based training has been shown to help [14] but it is very difficult to maintain the sterile field, and to have confidence that you have done so. One has to prepare the area, unpack the catheter kit (FIG. 3, 40), prepare the patient, and perform the procedure on a moving patient. It is relatively easy to violate the sterile field, and not even know it. Worse, the violations can occur through a chain of contacts that can transmit unseen pathogens (e.g., bacteria, viruses, fungi, and parasites) from one surface to another, where the final transmission of the pathogen to the patient happens during what would otherwise seem like a sterile contact. For example, one might unknowingly contact a non-sterile surface with the back of a hand (sterile glove), then scratch that spot using the fingers of the other hand (sterile glove), and then touch the catheter.
